日付,積雪量,未
2016/4/1,0,1
2016/11/1,0,1
2016/11/2,0,1
2016/11/3,0,1
2016/11/4,0,1
2016/11/5,12,1
2016/11/6,19,1
2016/11/7,0,1
2016/11/8,1,1
2016/11/9,6,1
2016/11/10,1,1
2016/11/11,3,1
2016/11/12,3,1
2016/11/13,0,1
2016/11/14,0,1
2016/11/15,1,1
2016/11/16,3,1
2016/11/17,3,1
2016/11/18,2,1
2016/11/19,0,1
2016/11/20,0,1
2016/11/21,0,1
2016/11/22,2,1
2016/11/23,11,1
2016/11/24,6,1
2016/11/25,10,1
2016/11/26,1,1
2016/11/27,0,1
2016/11/28,6,1
2016/11/29,16,1
2016/11/30,1,1
2016/12/1,1,1
2016/12/2,1,1
2016/12/3,0,1
2016/12/4,0,1
2016/12/5,0,1
2016/12/6,14,1
2016/12/7,1,1
2016/12/8,0,1
2016/12/9,2,1
2016/12/10,24,1
2016/12/11,8,1
2016/12/12,7,1
2016/12/13,0,1
2016/12/14,0,1
2016/12/15,4,1
2016/12/16,13,1
2016/12/17,3,1
2016/12/18,1,1
2016/12/19,0,1
2016/12/20,0,1
2016/12/21,1,1
2016/12/22,23,1
2016/12/23,20,1
2016/12/24,10,1
2016/12/25,1,1
2016/12/26,5,1
2016/12/27,7,1
2016/12/28,6,1
2016/12/29,15,1
2016/12/30,4,1
2016/12/31,1,1
2017/1/1,0,1
2017/1/2,0,1
2017/1/3,16,1
2017/1/4,2,1
2017/1/5,1,1
2017/1/6,3,1
2017/1/7,1,1
2017/1/8,1,1
2017/1/9,7,1
2017/1/10,2,1
2017/1/11,5,1
2017/1/12,4,1
2017/1/13,16,1
2017/1/14,0,1
2017/1/15,4,1
2017/1/16,0,1
2017/1/17,1,1
2017/1/18,4,1
2017/1/19,1,1
2017/1/20,1,1
2017/1/21,2,1
2017/1/22,6,1
2017/1/23,3,1
2017/1/24,8,1
2017/1/25,12,1
2017/1/26,0,1
2017/1/27,1,1
2017/1/28,3,1
2017/1/29,0,1
2017/1/30,3,1
2017/1/31,7,1
2017/2/1,8,1
2017/2/2,5,1
2017/2/3,2,1
2017/2/4,0,1
2017/2/5,0,1
2017/2/6,0,1
2017/2/7,2,1
2017/2/8,4,1
2017/2/9,1,1
2017/2/10,2,1
2017/2/11,0,1
2017/2/12,0,1
2017/2/13,2,1
2017/2/14,10,1
2017/2/15,2,1
2017/2/16,0,1
2017/2/17,8,1
2017/2/18,1,1
2017/2/19,3,1
2017/2/20,1,1
2017/2/21,5,1
2017/2/22,0,1
2017/2/23,4,1
2017/2/24,0,1
2017/2/25,18,1
2017/2/26,3,1
2017/2/27,2,1
2017/2/28,0,1
2017/3/1,0,1
2017/3/2,0,1
2017/3/3,2,1
2017/3/4,1,1
2017/3/5,1,1
2017/3/6,4,1
2017/3/7,11,1
2017/3/8,0,1
2017/3/9,2,1
2017/3/10,17,1
2017/3/11,6,1
2017/3/12,1,1
2017/3/13,0,1
2017/3/14,0,1
2017/3/15,0,1
2017/3/16,0,1
2017/3/17,1,1
2017/3/18,0,1
2017/3/19,0,1
2017/3/20,0,1
2017/3/21,2,1
2017/3/22,1,1
2017/3/23,8,1
2017/3/24,6,1
2017/3/25,3,1
2017/3/26,2,1
2017/3/27,0,1
2017/3/28,1,1
2017/3/29,0,1
2017/3/30,4,1
2017/3/31,1,1
2017/4/1,0,1
